Date,year,month,day,dow,doy,quarter,is_weekend,days_to_eom,days_from_som,dim,is_last1,is_first1,is_last2,is_first2,is_last3,is_first3,t_days,t_years,regime_pre2019,regime_2019,regime_post2019,sin_y1,cos_y1,sin_y2,cos_y2,sin_y3,cos_y3,sin_y4,cos_y4,sin_y5,cos_y5,sin_w1,cos_w1,sin_w2,cos_w2,sin_m1,cos_m1,sin_m2,cos_m2,hol_new_year,hol_womens_day,hol_reunification,hol_labor_day,hol_national_day,hol_vn_womens_day,hol_dd_1111,hol_dd_1212,hol_christmas_eve,hol_christmas,tet_days_diff,tet_in_7,tet_in_14,tet_before_7,tet_after_7,tet_on,hol_black_friday,promo_spring_sale,promo_spring_sale_since,promo_spring_sale_until,promo_spring_sale_disc,promo_mid_year,promo_mid_year_since,promo_mid_year_until,promo_mid_year_disc,promo_fall_launch,promo_fall_launch_since,promo_fall_launch_until,promo_fall_launch_disc,promo_year_end,promo_year_end_since,promo_year_end_until,promo_year_end_disc,promo_urban_blowout,promo_urban_blowout_since,promo_urban_blowout_until,promo_urban_blowout_disc,promo_rural_special,promo_rural_special_since,promo_rural_special_until,promo_rural_special_disc,is_odd_year,Revenue,COGS
2012-07-04,2012,7,4,2,186,3,0,27,3,31,0,0,0,0,0,0,-2737,-7.493497604380561,1,0,0,-0.0580255693287803,-0.9983150972033183,0.1158556037694784,0.9932660666081418,-0.1732952273485721,-0.9848699224660112,0.2301508797012426,0.9731549581504192,-0.2862309683321782,-0.9581606508136428,0.9749279121818236,-0.2225209339563143,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,0.9377521321470804,0.3473052528448203,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,11.0,18.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5123547.94,3982991.19
2012-07-05,2012,7,5,3,187,3,0,26,4,31,0,0,0,0,0,0,-2736,-7.490759753593429,1,0,0,-0.0751895764147585,-0.9971692572470178,0.1499534681324453,0.9886930551971383,-0.2238684004637307,-0.9746193817454128,0.2965159050905482,0.9550279147901034,-0.367484689218406,-0.930029571137419,0.4338837391175582,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.72479278722912,0.6889669190756866,0.9987165071710528,-0.0506491688387126,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,12.0,17.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,2751773.45,2150580.23
2012-07-06,2012,7,6,4,188,3,0,25,5,31,0,0,0,0,0,0,-2735,-7.488021902806297,1,0,0,-0.0923313336953912,-0.9957283388645872,0.1838738510513275,0.9829498496360606,-0.2738454748405547,-0.9617737030660336,0.3614775484858117,0.9323808137991084,-0.4460214029406849,-0.8950222947607636,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,0.8486442574947509,0.5289640103269624,0.8978045395707416,-0.4403941515576344,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,13.0,16.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3054029.42,2517632.84
2012-07-07,2012,7,7,5,189,3,1,24,6,31,0,0,0,0,0,0,-2734,-7.485284052019165,1,0,0,-0.1094457686489155,-0.993992768446958,0.2175766051482817,0.976043247449696,-0.3230933755523461,-0.9463670908660078,0.4247283525160183,0.9053208417842974,-0.5212604463582775,-0.8533976488498016,-0.9749279121818236,-0.2225209339563146,0.4338837391175584,-0.9009688679024188,0.9377521321470804,0.3473052528448203,0.6513724827222223,-0.758758122692791,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,14.0,15.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,2667930.94,2108246.62
2012-07-08,2012,7,8,6,190,3,1,23,7,31,0,0,0,0,0,0,-2733,-7.482546201232033,1,0,0,-0.1265278168386831,-0.9919630595773395,0.2510218406258827,0.9679814231320734,-0.3714809692572883,-0.9284405686308982,0.4859689570525488,0.8739760710575879,-0.5926455377376204,-0.8054633862564373,-0.7818314824680299,0.6234898018587334,-0.9749279121818236,-0.2225209339563148,0.9884683243281114,0.1514277775045767,0.299363122973358,-0.9541392564000488,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,15.0,14.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,2360851.9,1808622.79
2012-07-09,2012,7,9,0,191,3,0,22,8,31,0,0,0,0,0,0,-2732,-7.479808350444901,1,0,0,-0.1435724234118113,-0.9896398128792412,0.2841699724797683,0.9587739184713192,-0.4188794133697427,-0.908041869659665,0.5449095160526287,0.8384948534816955,-0.6596488896351387,-0.7515739101399999,0.0,1.0,0.0,1.0,0.9987165071710528,-0.0506491688387126,-0.101168321987432,-0.9948693233918952,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,16.0,13.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,3548386.46,2787841.68
2012-07-10,2012,7,10,1,192,3,0,21,9,31,0,0,0,0,0,0,-2731,-7.477070499657769,1,0,0,-0.1605745445949937,-0.9870237158387384,0.3169817673505278,0.9484316312562208,-0.4651624991319035,-0.8852253099642835,0.601271069373482,0.7990451183346716,-0.7217751111067897,-0.6921276536786992,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.2225209339563143,0.9680771188662044,-0.2506525322587204,-0.4853019625310808,-0.8743466161445822,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,17.0,12.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5234938.62,4044438.84
2012-07-11,2012,7,11,2,193,3,0,20,10,31,0,0,0,0,0,0,-2730,-7.474332648870637,1,0,0,-0.1775291491870349,-0.984115542601034,0.3494183899593976,0.9369668023778548,-0.5102069876723092,-0.8600516436414433,0.6547868630645504,0.7558135775163646,-0.7785648703932875,-0.6275641342440497,0.9749279121818236,-0.2225209339563143,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,-0.7907757369376986,-0.6121059825476627,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,18.0,11.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5582884.78,4338313.07
2012-07-12,2012,7,12,3,194,3,0,19,11,31,0,0,0,0,0,0,-2729,-7.471594798083505,1,0,0,-0.1944312200476619,-0.9809161537413774,0.3814414490727919,0.9243930013415552,-0.5538929381563792,-0.8325879011014353,0.7052036118889403,0.7090048418584973,-0.8295982910008727,-0.5583607038182677,0.4338837391175582,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.7907757369376989,-0.6121059825476626,-0.968077118866204,-0.2506525322587213,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,19.0,10.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5734632.02,4458811.27
2012-07-13,2012,7,13,4,195,3,0,18,12,31,0,0,0,0,0,0,-2728,-7.468856947296373,1,0,0,-0.2112757555821793,-0.9774264960104057,0.4130130429412807,0.9107251102063584,-0.5961040271552034,-0.8029072105849769,0.7522826980987227,0.6588404527207676,-0.8744980560685742,-0.4850290196805598,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,0.6513724827222223,-0.758758122692791,-0.9884683243281114,0.1514277775045766,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,0,0,0,-1.0,-1.0,0.0,1,20.0,9.0,18.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,-1.0,-1.0,0.0,0,5309511.71,4143402.78
